Age,Workclass,Education,Marital-status,Occupation,Gender,Capital-gain,Capital-loss,Hours-per-Week,Country,Income
49, Self-emp-inc, Some-college,Married, Exec-managerial, Male,0,0,50, United-States, >50K
25, ?, Some-college,Never-married, ?, Male,0,0,40, United-States, <=50K
19, Private, Some-college,Never-married, Prof-specialty, Male,0,0,32, United-States, <=50K
31, Private, Bachelors,Divorced, Sales, Female,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Bachelors,Married, Sales, Male,0,0,70, United-States, >50K
23, Private, Some-college,Never-married, Machine-op-inspct, Male,0,0,40, United-States, <=50K
79, Private, Some-college,Married, Prof-specialty, Male,0,0,20, United-States, <=50K
27, Private, HS-grad,Never-married, Other-service, Male,0,0,40, Mexico, <=50K
40, Private, Assoc-acdm,Married, Adm-clerical, Male,0,0,40, United-States, <=50K
67, ?, 10th,Married, ?, Male,0,0,2, United-States, <=50K
18, Private, 11th,Never-married, Other-service, Female,0,0,22, United-States, <=50K
31,Government, 7th-8th,Married, Farming-fishing, Male,0,0,40, United-States, <=50K
18, Private, HS-grad,Never-married, Sales, Male,0,0,30, United-States, <=50K
52, Private, Bachelors,Married, Other-service, Male,0,0,40, Cuba, <=50K
46, Private, HS-grad,Married, Other-service, Female,0,0,40, United-States, <=50K
59, Private, HS-grad,Married, Sales, Male,0,0,48, United-States, <=50K
44, Private, HS-grad,Divorced, Craft-repair, Female,14344,0,40, United-States, >50K
53, Private, HS-grad,Divorced, Sales, Female,0,0,35, United-States, <=50K
49,Government, HS-grad,Married, Protective-serv, Male,0,0,40, United-States, >50K
33, Private, Masters,Married, Prof-specialty, Male,0,0,50, United-States, <=50K
30, Private, 9th,Never-married, Sales, Male,0,0,40, United-States, <=50K
43,Government, Doctorate,Never-married, Prof-specialty, Female,0,0,50, United-States, >50K
57, Private, Assoc-voc,Married, Prof-specialty, Male,0,0,40, United-States, <=50K
37, Private, Some-college,Divorced, Craft-repair, Female,0,0,40, United-States, <=50K
28, Private, Some-college,Divorced, Machine-op-inspct, Female,0,0,25, United-States, <=50K
30, Private, HS-grad,Married, Sales, Female,0,1573,35, ?, <=50K
34,Government, Bachelors,Married, Protective-serv, Male,0,0,40, United-States, >50K
29,Government, Some-college,Never-married, Handlers-cleaners, Male,0,0,50, United-States, <=50K
48, Self-emp-not-inc, Doctorate,Married, Prof-specialty, Male,0,1902,60, United-States, >50K
37, Private, Some-college,Married, Sales, Male,0,0,48, United-States, >50K
48, Private, Assoc-acdm,Divorced, Exec-managerial, Female,0,0,40, England, <=50K
32,Government, HS-grad,Never-married, Other-service, Male,0,0,40, United-States, <=50K
76, Private, Masters,Married, Exec-managerial, Male,0,0,40, United-States, >50K
44, Private, Bachelors,Married, Exec-managerial, Male,15024,0,60, United-States, >50K
47, Self-emp-not-inc, Masters,Never-married, Prof-specialty, Female,0,0,50, United-States, <=50K
20, Private, Some-college,Never-married, Tech-support, Female,0,0,40, United-States, <=50K
29, Private, HS-grad,Never-married, Craft-repair, Male,0,0,40, United-States, <=50K
32, Self-emp-inc, HS-grad,Married, Craft-repair, Male,7688,0,40, United-States, >50K
17, ?, 10th,Never-married, ?, Female,34095,0,32, United-States, <=50K
30, Private, 11th,Never-married, Handlers-cleaners, Male,0,0,40, United-States, <=50K
31,Government, HS-grad,Never-married, Adm-clerical, Female,0,0,40, United-States, <=50K
42, Private, HS-grad,Married, Handlers-cleaners, Male,0,0,40, United-States, <=50K
24, Private, Bachelors,Never-married, Sales, Male,0,0,40, United-States, <=50K
38, Private, Prof-school,Married, Prof-specialty, Male,0,0,40, United-States, >50K
56, Self-emp-not-inc, HS-grad,Married, Other-service, Male,0,1887,50, Canada, >50K
28, Private, Some-college,Married, Sales, Female,4064,0,25, United-States, <=50K
36, Private, HS-grad,Never-married, Machine-op-inspct, Female,0,0,40, United-States, <=50K
53, Private, 9th,Married, Handlers-cleaners, Male,0,0,50, United-States, <=50K
56, Self-emp-inc, Some-college,Married, Sales, Male,0,0,50, United-States, <=50K
49,Government, Assoc-voc,Married, Craft-repair, Male,0,0,40, United-States, >50K
55, Private, Some-college,Married, Sales, Male,0,0,56, United-States, <=50K
22, Private, HS-grad,Never-married, Craft-repair, Male,0,0,41, United-States, <=50K
21, Private, Some-college,Never-married, Other-service, Female,0,0,40, United-States, <=50K
40, Private, Bachelors,Married, Exec-managerial, Male,0,0,60, United-States, <=50K
30, Private, Bachelors,Never-married, Exec-managerial, Male,0,0,40, Germany, <=50K
29,Government, Bachelors,Married, Prof-specialty, Male,0,0,50, United-States, >50K
19, Private, Some-college,Never-married, Other-service, Male,0,0,35, United-States, <=50K
47, Private, Bachelors,Married, Exec-managerial, Female,0,0,40, United-States, >50K
20, Private, Some-college,Never-married, Adm-clerical, Female,0,1719,28, United-States, <=50K
31, Private, Assoc-acdm,Married, Adm-clerical, Male,0,0,40, United-States, >50K
35, ?, HS-grad,Married, ?, Male,0,0,40, United-States, <=50K
39, Private, Some-college,Divorced, Craft-repair, Male,0,0,40, United-States, <=50K
28, Private, Assoc-acdm,Never-married, Sales, Female,0,0,60, United-States, <=50K
24, Private, HS-grad,Never-married, Other-service, Female,0,1762,40, United-States, <=50K
38, Self-emp-not-inc, HS-grad,Married, Craft-repair, Male,4386,0,35, United-States, <=50K
37, Private, Bachelors,Married, Sales, Male,0,0,50, United-States, <=50K
46, Private, Assoc-acdm,Divorced, Tech-support, Female,0,0,36, United-States, <=50K
38,Government, Masters,Married, Prof-specialty, Male,0,0,40, Iran, >50K
43, Self-emp-not-inc, HS-grad,Married, Craft-repair, Male,0,0,60, United-States, <=50K
27, Private, Assoc-voc,Married, Adm-clerical, Female,0,0,35, United-States, <=50K
20, Private, Some-college,Never-married, Sales, Male,0,0,20, United-States, <=50K
49, Private, Some-college,Married, Craft-repair, Male,0,0,40, United-States, >50K
61, Self-emp-inc, HS-grad,Married, Craft-repair, Male,0,0,40, United-States, <=50K
27, Private, Some-college,Never-married, Sales, Female,0,0,40, United-States, <=50K
19, Private, Some-college,Never-married, Other-service, Male,0,0,30, Mexico, <=50K
45, Private, Assoc-voc,Never-married, Prof-specialty, Female,0,1564,40, United-States, >50K
70, Private, Some-college,Never-married, Tech-support, Male,0,0,40, United-States, <=50K
31, Private, HS-grad,Never-married, Transport-moving, Female,0,0,30, United-States, <=50K
22, Private, Some-college,Married, Other-service, Male,0,0,24, United-States, <=50K
36, Private, HS-grad,Divorced, Other-service, Female,0,0,24, United-States, <=50K
64, Private, 11th,Married, Craft-repair, Male,0,2179,40, United-States, <=50K
43, ?, Some-college,Divorced, ?, Female,0,0,40, United-States, <=50K
47,Government, Some-college,Divorced, Adm-clerical, Female,0,0,38, Mexico, <=50K
34, Private, HS-grad,Never-married, Adm-clerical, Female,0,0,40, United-States, <=50K
33, Private, Bachelors,Never-married, Exec-managerial, Female,0,0,40, Philippines, <=50K
21, Private, HS-grad,Never-married, Craft-repair, Male,0,0,35, United-States, <=50K
52, ?, HS-grad,Divorced, ?, Male,0,0,45, United-States, >50K
48, Private, HS-grad,Married, Craft-repair, Male,0,0,46, United-States, <=50K
23, Private, Bachelors,Never-married, Handlers-cleaners, Male,0,0,40, United-States, <=50K
71, Self-emp-not-inc, Some-college,Divorced, Sales, Male,0,1816,2, United-States, <=50K
29, Private, HS-grad,Divorced, Craft-repair, Male,0,0,60, United-States, <=50K
42, Private, Bachelors,Divorced, Other-service, Male,0,0,50, United-States, <=50K
68, ?, 1st-4th,Divorced, ?, Female,0,0,20, United-States, <=50K
25, Private, HS-grad,Never-married, Other-service, Female,0,0,40, United-States, <=50K
44, Self-emp-inc, Masters,Divorced, Exec-managerial, Female,0,0,40, United-States, <=50K
28, Private, HS-grad,Never-married, Exec-managerial, Female,0,0,40, England, <=50K
45, Self-emp-not-inc, Masters,Married, Sales, Male,0,0,40, United-States, >50K
36, Private, Some-college,Divorced, Other-service, Female,0,0,40, Mexico, <=50K
39,Government, Assoc-acdm,Never-married, Exec-managerial, Male,0,0,42, United-States, <=50K
46,Government, Masters,Divorced, Protective-serv, Male,0,0,40, United-States, <=50K
18, Private, 11th,Never-married, Handlers-cleaners, Male,0,0,16, United-States, <=50K
66,Government, Assoc-voc,Divorced, Prof-specialty, Female,0,0,20, United-States, <=50K
27, Private, HS-grad,Never-married, Other-service, Male,0,1980,40, United-States, <=50K
28,Government, HS-grad,Married, Protective-serv, Male,0,0,40, United-States, <=50K
51, Private, Some-college,Married, Sales, Male,0,1977,40, United-States, >50K
27, Private, Bachelors,Never-married, Craft-repair, Male,0,0,50, United-States, <=50K
28,Government, Bachelors,Married, Prof-specialty, Male,0,0,40, United-States, >50K
27, Private, HS-grad,Married, Sales, Female,0,0,25, United-States, <=50K
21, Private, HS-grad,Never-married, Craft-repair, Male,0,0,40, United-States, <=50K
34, Private, HS-grad,Never-married, Handlers-cleaners, Male,0,0,40, United-States, <=50K
18, Private, HS-grad,Never-married, Other-service, Male,0,0,12, United-States, <=50K
33, Private, Bachelors,Married, Prof-specialty, Male,0,0,65, United-States, <=50K
44,Government, Some-college,Married, Exec-managerial, Male,0,0,38, United-States, >50K
43, Private, Some-college,Divorced, Adm-clerical, Female,0,0,40, United-States, <=50K
30, Private, Some-college,Never-married, Craft-repair, Male,0,0,45, United-States, <=50K
40, Private, 7th-8th,Married, Machine-op-inspct, Male,0,0,40, Mexico, >50K
37,Government, Some-college,Married, Adm-clerical, Male,0,0,42, United-States, >50K
34, Private, HS-grad,Married, Adm-clerical, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Bachelors,Divorced, Exec-managerial, Female,0,0,40, United-States, <=50K
53, ?, Bachelors,Divorced, ?, Female,0,0,50, United-States, <=50K
31, Private, Masters,Married, Prof-specialty, Female,0,0,50, United-States, <=50K
58,Government, Doctorate,Married, Prof-specialty, Male,0,0,1, United-States, >50K
38, Private, Some-college,Divorced, Machine-op-inspct, Female,0,0,28, United-States, <=50K
24, Private, Some-college,Married, Machine-op-inspct, Male,0,0,40, United-States, <=50K
41,Government, Bachelors,Married, Craft-repair, Male,0,0,40, United-States, <=50K
47, Private, Some-college,Married, Tech-support, Male,0,0,45, United-States, <=50K
41,Government, Bachelors,Married, Tech-support, Male,0,0,24, United-States, <=50K
23, Private, 5th-6th,Married, Transport-moving, Male,0,0,40, Mexico, <=50K
36, Private, Some-college,Divorced, Craft-repair, Male,0,0,40, United-States, <=50K
40,Government, Masters,Never-married, Exec-managerial, Female,14084,0,55, United-States, >50K
35, Private, Masters,Married, Prof-specialty, Male,7298,0,40, United-States, >50K
24, Self-emp-not-inc, HS-grad,Never-married, Sales, Male,0,0,40, United-States, <=50K
26, Private, Masters,Never-married, Prof-specialty, Female,0,1876,40, United-States, <=50K
19, ?, HS-grad,Never-married, ?, Male,0,0,40, Italy, <=50K
51, Private, Bachelors,Married, Exec-managerial, Male,0,0,50, United-States, >50K
42,Government, Some-college,Never-married, Prof-specialty, Female,0,1340,40, United-States, <=50K
37,Government, HS-grad,Divorced, Adm-clerical, Female,0,0,35, United-States, <=50K
18, Private, 11th,Never-married, Sales, Female,0,0,40, United-States, <=50K
36, Private, Bachelors,Married, Other-service, Male,7298,0,36, United-States, >50K
35, Private, HS-grad,Divorced, Craft-repair, Male,0,0,60, United-States, <=50K
58, Self-emp-inc, HS-grad,Married, Sales, Female,15024,0,35, United-States, >50K
17, Private, 11th,Never-married, Sales, Female,0,0,12, United-States, <=50K
44,Government, HS-grad,Married, Transport-moving, Male,0,0,40, United-States, <=50K
37, Private, HS-grad,Married, Craft-repair, Male,0,0,40, United-States, >50K
35, Private, Some-college,Never-married, Sales, Female,0,0,40, United-States, <=50K
60, Private, HS-grad,Married, Craft-repair, Male,0,0,40, United-States, <=50K
54, Self-emp-inc, 7th-8th,Married, Machine-op-inspct, Male,0,0,40, United-States, >50K
37, Private, Bachelors,Never-married, Exec-managerial, Male,0,0,60, United-States, >50K
50, Private, Assoc-acdm,Divorced, Sales, Female,0,0,40, United-States, <=50K
38, Private, Bachelors,Married, Sales, Male,0,0,50, Poland, <=50K
45, Private, Bachelors,Married, Prof-specialty, Male,0,0,55, United-States, <=50K
25, Private, 10th,Never-married, Craft-repair, Male,0,0,40, United-States, <=50K
31, Private, Some-college,Married, Handlers-cleaners, Male,0,0,40, United-States, <=50K
64, ?, 1st-4th,Divorced, ?, Male,0,0,40, United-States, <=50K
90, Private, HS-grad,Never-married, Other-service, Male,0,2206,40, United-States, <=50K
54, Private, HS-grad,Married, Adm-clerical, Male,0,0,20, United-States, <=50K
53,Government, Preschool,Never-married, Machine-op-inspct, Female,0,0,35, United-States, <=50K
18, Private, HS-grad,Never-married, Sales, Female,0,0,40, United-States, <=50K
60, ?, 10th,Divorced, ?, Female,0,0,10, United-States, <=50K
66, Self-emp-not-inc, HS-grad,Married, Farming-fishing, Male,1409,0,50, United-States, <=50K
75, Private, Assoc-voc,Divorced, Adm-clerical, Female,0,0,20, Columbia, <=50K
65, Private, HS-grad,Divorced, Adm-clerical, Female,0,0,40, United-States, <=50K
35, Private, 11th,Divorced, Transport-moving, Male,3674,0,40, United-States, <=50K
41, Private, HS-grad,Divorced, Sales, Female,0,0,38, United-States, <=50K
25, Private, Some-college,Never-married, Adm-clerical, Male,0,0,42, United-States, <=50K
33, Private, Some-college,Divorced, Craft-repair, Female,0,0,40, United-States, <=50K
28, Private, Prof-school,Never-married, Prof-specialty, Male,0,0,55, United-States, >50K
59,Government, HS-grad,Married, Other-service, Male,0,0,40, United-States, <=50K
40,Government, Some-college,Never-married, Adm-clerical, Female,0,0,38, United-States, <=50K
41, Private, Bachelors,Married, Exec-managerial, Male,0,0,50, Iran, >50K
38,Government, Masters,Married, Exec-managerial, Male,0,0,70, United-States, >50K
23, Private, HS-grad,Never-married, Transport-moving, Male,0,0,40, United-States, <=50K
40, Private, Bachelors,Married, Prof-specialty, Male,0,0,40, United-States, >50K
41, Self-emp-not-inc, HS-grad,Married, Other-service, Female,0,0,20, United-States, <=50K
24,Government, Assoc-acdm,Married, Protective-serv, Male,0,0,50, United-States, <=50K
20, ?, Some-college,Never-married, ?, Male,0,0,20, United-States, <=50K
38, Private, Some-college,Divorced, Craft-repair, Male,0,1741,40, United-States, <=50K
56, Private, HS-grad,Married, Adm-clerical, Male,0,0,35, ?, <=50K
58, Private, HS-grad,Married, Adm-clerical, Male,0,0,45, United-States, >50K
32, Private, HS-grad,Never-married, Other-service, Female,0,0,34, United-States, <=50K
40, Private, Assoc-acdm,Married, Tech-support, Male,0,1977,60, United-States, >50K
45, Private, HS-grad,Married, Adm-clerical, Male,0,0,40, ?, <=50K
41, Private, Prof-school,Married, Prof-specialty, Female,0,0,40, United-States, >50K
42, Private, Bachelors,Married, Adm-clerical, Female,0,0,40, United-States, <=50K
59,Government, 10th,Divorced, Other-service, Female,0,0,30, United-States, <=50K
19,Government, Some-college,Never-married, Adm-clerical, Male,0,0,40, United-States, <=50K
58, Private, Some-college,Never-married, Transport-moving, Male,0,0,20, United-States, <=50K
42, Self-emp-not-inc, HS-grad,Married, Farming-fishing, Male,0,0,40, Cambodia, >50K
20, Private, HS-grad,Never-married, Other-service, Female,0,0,40, United-States, <=50K
32, Private, HS-grad,Divorced, Other-service, Female,0,0,30, United-States, <=50K
45, Private, Assoc-voc,Divorced, Exec-managerial, Female,0,0,45, United-States, <=50K
50, Private, 7th-8th,Divorced, Craft-repair, Male,0,0,40, United-States, <=50K
36, Private, Bachelors,Divorced, Prof-specialty, Female,0,0,40, United-States, <=50K
45, Private, HS-grad,Married, Sales, Male,0,0,60, United-States, <=50K
17, Private, 11th,Never-married, Other-service, Male,0,0,12, United-States, <=50K
59, Private, Some-college,Married, Sales, Male,4064,0,40, United-States, <=50K
26, Private, 11th,Married, Craft-repair, Male,0,0,40, United-States, <=50K
37, Self-emp-inc, Some-college,Married, Exec-managerial, Male,0,0,75, Thailand, >50K
19, ?, Some-college,Never-married, ?, Male,0,0,24, Canada, <=50K
64, Private, HS-grad,Married, Exec-managerial, Male,0,0,40, United-States, >50K
33, Private, Bachelors,Never-married, Prof-specialty, Female,0,0,45, United-States, <=50K
33, Private, HS-grad,Married, Craft-repair, Female,0,0,40, United-States, >50K
61, Private, HS-grad,Married, Exec-managerial, Male,0,0,40, United-States, >50K
17, Private, 9th,Never-married, Other-service, Male,1055,0,24, United-States, <=50K
50, Self-emp-not-inc, Masters,Married, Farming-fishing, Male,2407,0,98, United-States, <=50K
27,Government, Masters,Never-married, Prof-specialty, Male,0,0,35, United-States, <=50K
30, Private, HS-grad,Divorced, Prof-specialty, Female,0,0,40, United-States, <=50K
43, Private, HS-grad,Married, Handlers-cleaners, Male,0,0,40, United-States, <=50K
44, Private, Some-college,Married, Craft-repair, Male,7298,0,40, United-States, >50K
35, Private, Some-college,Never-married, Exec-managerial, Female,0,0,40, United-States, <=50K
25, Private, Some-college,Never-married, Tech-support, Female,0,0,40, United-States, <=50K
24, Private, Some-college,Married, Machine-op-inspct, Female,7298,0,48, United-States, >50K
22, Private, Bachelors,Never-married, Prof-specialty, Female,0,0,15, Germany, <=50K
42,Government, Some-college,Married, Craft-repair, Male,5178,0,40, United-States, >50K
34, Private, Assoc-acdm,Divorced, Sales, Female,0,0,45, United-States, <=50K
60, Private, Bachelors,Divorced, Prof-specialty, Female,0,0,42, United-States, <=50K
21, Private, HS-grad,Never-married, Handlers-cleaners, Male,0,0,40, United-States, <=50K
57,Government, Masters,Married, Sales, Male,15024,0,40, United-States, >50K
41, Private, Prof-school,Married, Prof-specialty, Male,0,0,60, United-States, >50K
50, Private, Some-college,Divorced, Other-service, Male,0,0,45, United-States, <=50K
25, Private, Bachelors,Never-married, Exec-managerial, Female,0,0,40, United-States, <=50K
50, Private, 7th-8th,Married, Craft-repair, Male,0,0,40, Ecuador, <=50K
36, Private, Bachelors,Married, Prof-specialty, Male,0,0,45, United-States, <=50K
31, Private, HS-grad,Divorced, Prof-specialty, Female,0,0,40, United-States, <=50K
29,Government, Bachelors,Never-married, Protective-serv, Male,0,0,56, United-States, <=50K
21, Private, Some-college,Never-married, Sales, Male,0,0,45, United-States, <=50K
27, Private, Bachelors,Never-married, Tech-support, Female,0,0,40, United-States, <=50K
65, Private, HS-grad,Married, Transport-moving, Male,0,0,16, United-States, <=50K
37, Self-emp-inc, Bachelors,Divorced, Sales, Female,0,0,60, United-States, <=50K
39, ?, Masters,Married, ?, Female,3464,0,40, ?, <=50K
24, Private, HS-grad,Never-married, Craft-repair, Male,0,0,40, United-States, <=50K
38, Private, HS-grad,Divorced, Sales, Male,0,0,80, United-States, <=50K
48, Private, Bachelors,Married, Adm-clerical, Male,7688,0,40, United-States, >50K
21, Private, Some-college,Never-married, Other-service, Female,0,0,25, United-States, <=50K
31, Private, HS-grad,Married, Transport-moving, Male,0,0,45, United-States, >50K
55, Private, HS-grad,Married, Sales, Male,4386,0,40, United-States, >50K
24, Private, Some-college,Married, Adm-clerical, Female,0,0,40, Laos, <=50K
43, Private, HS-grad,Divorced, Adm-clerical, Female,0,0,40, United-States, <=50K
26, Private, Assoc-acdm,Never-married, Tech-support, Male,0,0,45, United-States, <=50K
46, Private, Assoc-acdm,Never-married, Prof-specialty, Female,0,0,33, United-States, <=50K
35, Private, Assoc-acdm,Married, Adm-clerical, Male,0,0,40, United-States, >50K
41, Self-emp-inc, Some-college,Married, Farming-fishing, Male,0,0,54, United-States, >50K
26, Private, Bachelors,Never-married, Sales, Male,0,0,40, United-States, <=50K
34, Private, Masters,Married, Exec-managerial, Male,7298,0,35, Taiwan, >50K
19, ?, Some-college,Never-married, ?, Female,0,0,25, United-States, <=50K
36, Self-emp-not-inc, Bachelors,Divorced, Prof-specialty, Female,0,0,40, United-States, >50K
22, Private, Some-college,Never-married, Sales, Male,0,0,15, United-States, <=50K
24, Private, Some-college,Never-married, Machine-op-inspct, Male,0,0,40, United-States, <=50K
77, Self-emp-not-inc, Some-college,Married, Sales, Male,0,0,40, United-States, <=50K
22, Private, 5th-6th,Married, Machine-op-inspct, Female,0,0,40, Mexico, <=50K
29, Private, Some-college,Never-married, Tech-support, Female,0,0,40, United-States, <=50K
62, Private, HS-grad,Divorced, Other-service, Female,0,0,24, United-States, <=50K
39, Self-emp-not-inc, HS-grad,Married, Exec-managerial, Male,0,0,40, United-States, <=50K
43, Private, Some-college,Married, Craft-repair, Male,0,1485,50, United-States, <=50K
35, Private, HS-grad,Divorced, Transport-moving, Male,0,0,45, United-States, <=50K
29, Private, 11th,Never-married, Exec-managerial, Female,0,0,40, United-States, <=50K
76, Self-emp-not-inc, Masters,Married, Craft-repair, Male,0,0,10, United-States, <=50K
63, Self-emp-not-inc, HS-grad,Married, Farming-fishing, Male,0,0,45, United-States, <=50K
23, ?, Assoc-voc,Never-married, ?, Female,0,0,15, United-States, <=50K
43, Private, Some-college,Married, Prof-specialty, Female,0,1887,50, United-States, >50K
58, Self-emp-not-inc, HS-grad,Married, Handlers-cleaners, Male,0,0,40, United-States, <=50K
66, Private, HS-grad,Never-married, Transport-moving, Male,2050,0,55, United-States, <=50K
41, Private, Some-college,Never-married, Craft-repair, Male,0,0,45, United-States, <=50K
26, Private, Bachelors,Never-married, Adm-clerical, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc,Never-married, Other-service, Male,0,0,40, United-States, <=50K
55,Government, 10th,Married, Adm-clerical, Male,0,0,40, United-States, <=50K
53, Private, HS-grad,Married, Transport-moving, Male,0,0,40, United-States, <=50K
17, Private, 5th-6th,Never-married, Other-service, Male,0,0,48, Mexico, <=50K
30, Private, HS-grad,Never-married, Craft-repair, Male,0,0,40, United-States, <=50K
49, Private, Masters,Never-married, Prof-specialty, Male,0,0,60, United-States, <=50K
19, Private, HS-grad,Never-married, Sales, Male,0,0,30, Haiti, <=50K
45, Private, HS-grad,Married, Other-service, Male,0,0,40, United-States, <=50K
26, Private, Assoc-acdm,Never-married, Sales, Male,0,0,40, United-States, <=50K
38, Private, Assoc-voc,Married, Craft-repair, Male,7298,0,40, United-States, >50K
36,Government, HS-grad,Married, Protective-serv, Male,7298,0,40, United-States, >50K
33, Private, HS-grad,Never-married, Farming-fishing, Male,0,0,20, United-States, <=50K
